t=1655301837.8560333;temp=90.0;heater=0;scale=-0.0059657594490000005;pressure=4.095;pump=75.12393009662628;stage=1;
t=1655301837.9022524;temp=90.0;heater=4.6538384912076935e-06;scale=-0.0059657594490000005;pressure=4.095;pump=75.3678837120533;stage=1;
t=1655301837.9581165;temp=90.0;heater=4.6538384912076935e-06;scale=-0.0021415546740000003;pressure=4.095;pump=75.60177467763424;stage=1;
t=1655301838.0035655;temp=89.9375;heater=4.6538384912076935e-06;scale=-0.0021415546740000003;pressure=4.095;pump=75.60177467763424;stage=1;
t=1655301838.058902;temp=89.9375;heater=4.6538384912076935e-06;scale=0.0022945228650000002;pressure=4.095;pump=75.83947645127773;stage=1;
t=1655301838.1047823;temp=89.9375;heater=4.6538384912076935e-06;scale=0.0022945228650000002;pressure=4.095;pump=76.07676789164543;stage=1;
t=1655301838.1605568;temp=89.9375;heater=4.6538384912076935e-06;scale=-0.011625582516;pressure=4.095;pump=76.31104423105717;stage=1;
t=1655301838.2066002;temp=89.9375;heater=4.6538384912076935e-06;scale=-0.011625582516;pressure=4.095;pump=76.54772666096687;stage=1;
t=1655301838.2521725;temp=89.9375;heater=4.6538384912076935e-06;scale=-0.011625582516;pressure=4.095;pump=0;stage=2;
t=1655301838.3071024;temp=89.875;heater=4.6538384912076935e-06;scale=-0.014226041763000002;pressure=4.095;pump=0;stage=2;
t=1655301838.3533807;temp=89.875;heater=4.6538384912076935e-06;scale=-0.014226041763000002;pressure=4.095;pump=0;stage=2;
t=1655301838.4103608;temp=89.875;heater=4.6538384912076935e-06;scale=-0.025698656088000003;pressure=4.094;pump=0;stage=2;
t=1655301838.4568007;temp=89.875;heater=4.6538384912076935e-06;scale=-0.025698656088000003;pressure=4.094;pump=0;stage=2;
t=1655301838.5000758;temp=89.875;heater=4.6538384912076935e-06;scale=-0.025698656088000003;pressure=4.094;pump=0;stage=2;
t=1655301838.5549386;temp=89.8125;heater=4.6538384912076935e-06;scale=-0.0076484095500000005;pressure=4.095;pump=0;stage=2;
t=1655301838.6006536;temp=89.8125;heater=4.6538384912076935e-06;scale=-0.0076484095500000005;pressure=4.095;pump=0;stage=2;
t=1655301838.6561592;temp=89.8125;heater=4.6538384912076935e-06;scale=-0.000764840955;pressure=4.095;pump=0;stage=2;
t=1655301838.7018023;temp=89.8125;heater=4.6538384912076935e-06;scale=-0.000764840955;pressure=4.095;pump=0;stage=2;
t=1655301838.7574608;temp=89.8125;heater=4.6538384912076935e-06;scale=-0.0045890457300000005;pressure=4.095;pump=0;stage=2;
t=1655301838.80309;temp=89.8125;heater=4.6538384912076935e-06;scale=-0.0045890457300000005;pressure=4.095;pump=0;stage=2;
t=1655301838.8586931;temp=89.8125;heater=4.6538384912076935e-06;scale=-0.007954345932000001;pressure=4.095;pump=0;stage=2;
t=1655301838.9058306;temp=89.8125;heater=0.620299940863202;scale=-0.007954345932000001;pressure=4.095;pump=0;stage=2;
t=1655301838.9507737;temp=89.75;heater=0.620299940863202;scale=-0.007954345932000001;pressure=4.095;pump=0;stage=2;
t=1655301839.0055814;temp=89.75;heater=0.620299940863202;scale=-0.033500033829000006;pressure=4.095;pump=0;stage=2;
t=1655301839.0518432;temp=89.6875;heater=0.620299940863202;scale=-0.033500033829000006;pressure=4.095;pump=0;stage=2;
t=1655301839.1067252;temp=89.6875;heater=0.620299940863202;scale=-0.020497737594;pressure=4.094;pump=0;stage=2;
t=1655301839.1542473;temp=89.75;heater=0.620299940863202;scale=-0.020497737594;pressure=4.094;pump=0;stage=2;
t=1655301839.2090173;temp=89.75;heater=0.620299940863202;scale=-0.0019885864830000003;pressure=4.095;pump=0;stage=2;
t=1655301839.255234;temp=89.6875;heater=0.620299940863202;scale=-0.0019885864830000003;pressure=4.095;pump=0;stage=2;
t=1655301839.3100734;temp=89.6875;heater=0.620299940863202;scale=-0.021874451313;pressure=4.095;pump=0;stage=2;
t=1655301839.3564153;temp=89.6875;heater=0.620299940863202;scale=-0.021874451313;pressure=4.095;pump=0;stage=2;
t=1655301839.4007294;temp=89.6875;heater=0.620299940863202;scale=-0.021874451313;pressure=4.095;pump=0;stage=2;
t=1655301839.4566286;temp=89.6875;heater=0.620299940863202;scale=-0.010401836988;pressure=4.095;pump=0;stage=2;
t=1655301839.5023472;temp=89.6875;heater=0.620299940863202;scale=-0.010401836988;pressure=4.095;pump=0;stage=2;
t=1655301839.5572796;temp=89.625;heater=0.620299940863202;scale=-0.010401836988;pressure=4.095;pump=0;stage=2;
t=1655301839.6010199;temp=89.625;heater=0.620299940863202;scale=-0.018509151111000002;pressure=4.095;pump=0;stage=2;
